,video_name,tag
27,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_126.mp4,crash
28,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_496.mp4,crash
29,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_513.mp4,crash
30,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1074.mp4,crash
31,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_959.mp4,crash
32,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_842.mp4,crash
33,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_405.mp4,crash
34,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_718.mp4,crash
35,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_192.mp4,crash
36,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_736.mp4,crash
37,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_549.mp4,crash
38,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_933.mp4,crash
39,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_473.mp4,crash
40,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_388.mp4,crash
41,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1014.mp4,crash
42,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_870.mp4,crash
43,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1322.mp4,crash
44,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_536.mp4,crash
45,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1308.mp4,crash
46,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_783.mp4,crash
47,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_25.mp4,crash
48,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1113.mp4,crash
49,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1075.mp4,crash
50,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_561.mp4,crash
51,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_27.mp4,crash
52,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_814.mp4,crash
53,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1382.mp4,crash
54,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1443.mp4,crash
55,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_680.mp4,crash
56,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1439.mp4,crash
57,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_775.mp4,crash
58,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_450.mp4,crash
59,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_663.mp4,crash
60,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1246.mp4,crash
61,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1343.mp4,crash
62,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1275.mp4,crash
63,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_767.mp4,crash
64,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1251.mp4,crash
65,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_600.mp4,crash
66,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_71.mp4,crash
67,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1104.mp4,crash
68,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_87.mp4,crash
69,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_407.mp4,crash
70,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1272.mp4,crash
71,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_166.mp4,crash
72,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1240.mp4,crash
73,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_924.mp4,crash
74,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_579.mp4,crash
75,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_45.mp4,crash
76,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_888.mp4,crash
77,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1269.mp4,crash
78,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_214.mp4,crash
79,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1057.mp4,crash
80,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1256.mp4,crash
81,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1335.mp4,crash
82,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1451.mp4,crash
83,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1088.mp4,crash
84,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_866.mp4,crash
85,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_864.mp4,crash
86,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_324.mp4,crash
87,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_552.mp4,crash
88,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1205.mp4,crash
89,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_949.mp4,crash
90,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_400.mp4,crash
91,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1475.mp4,crash
92,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_468.mp4,crash
93,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_428.mp4,crash
94,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_220.mp4,crash
95,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_892.mp4,crash
96,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1165.mp4,crash
97,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_487.mp4,crash
98,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_717.mp4,crash
99,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_306.mp4,crash
100,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_852.mp4,crash
101,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_195.mp4,crash
102,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1134.mp4,crash
103,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1140.mp4,crash
104,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_803.mp4,crash
105,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1019.mp4,crash
106,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_423.mp4,crash
107,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_460.mp4,crash
108,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1279.mp4,crash
109,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1276.mp4,crash
110,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_466.mp4,crash
111,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1492.mp4,crash
112,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_273.mp4,crash
113,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_327.mp4,crash
114,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1257.mp4,crash
115,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_322.mp4,crash
116,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_764.mp4,crash
117,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_48.mp4,crash
118,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_96.mp4,crash
119,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1399.mp4,crash
120,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1274.mp4,crash
121,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_521.mp4,crash
122,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_914.mp4,crash
123,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_376.mp4,crash
124,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_101.mp4,crash
125,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_434.mp4,crash
126,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1461.mp4,crash
127,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_751.mp4,crash
128,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1367.mp4,crash
129,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_978.mp4,crash
130,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1496.mp4,crash
131,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1005.mp4,crash
132,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1093.mp4,crash
133,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1342.mp4,crash
134,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1283.mp4,crash
135,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1107.mp4,crash
136,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1383.mp4,crash
137,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1199.mp4,crash
138,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1126.mp4,crash
139,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_635.mp4,crash
140,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_719.mp4,crash
141,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_448.mp4,crash
142,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_913.mp4,crash
143,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1101.mp4,crash
144,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_910.mp4,crash
145,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_180.mp4,crash
146,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_253.mp4,crash
147,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_879.mp4,crash
148,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_937.mp4,crash
149,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1062.mp4,crash
150,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_369.mp4,crash
151,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1190.mp4,crash
152,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1244.mp4,crash
153,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_627.mp4,crash
154,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1353.mp4,crash
155,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_173.mp4,crash
156,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1449.mp4,crash
157,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_782.mp4,crash
158,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_457.mp4,crash
159,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_887.mp4,crash
160,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_308.mp4,crash
161,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1338.mp4,crash
162,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1183.mp4,crash
163,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1472.mp4,crash
164,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1177.mp4,crash
165,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1440.mp4,crash
166,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_594.mp4,crash
167,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1385.mp4,crash
168,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1346.mp4,crash
169,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_623.mp4,crash
170,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_18.mp4,crash
171,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1466.mp4,crash
172,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1185.mp4,crash
173,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_361.mp4,crash
174,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1073.mp4,crash
175,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1016.mp4,crash
176,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_715.mp4,crash
177,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_855.mp4,crash
178,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_716.mp4,crash
179,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_524.mp4,crash
180,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_89.mp4,crash
181,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_446.mp4,crash
182,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_443.mp4,crash
183,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_637.mp4,crash
184,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1139.mp4,crash
185,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1410.mp4,crash
186,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_464.mp4,crash
187,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_6.mp4,crash
188,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1069.mp4,crash
189,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_974.mp4,crash
190,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_266.mp4,crash
191,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_445.mp4,crash
192,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1340.mp4,crash
193,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1273.mp4,crash
194,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_292.mp4,crash
195,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1187.mp4,crash
196,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_500.mp4,crash
197,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_812.mp4,crash
198,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1170.mp4,crash
199,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_474.mp4,crash
200,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_788.mp4,crash
201,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1248.mp4,crash
202,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_472.mp4,crash
203,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1433.mp4,crash
204,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_538.mp4,crash
205,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_542.mp4,crash
206,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_162.mp4,crash
207,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_863.mp4,crash
208,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_926.mp4,crash
209,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1400.mp4,crash
210,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_255.mp4,crash
211,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_175.mp4,crash
212,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_418.mp4,crash
213,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1263.mp4,crash
214,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_929.mp4,crash
215,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_801.mp4,crash
216,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_148.mp4,crash
217,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_178.mp4,crash
218,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_932.mp4,crash
219,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_598.mp4,crash
220,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_771.mp4,crash
221,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1381.mp4,crash
222,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1315.mp4,crash
223,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1117.mp4,crash
224,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_161.mp4,crash
225,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_15.mp4,crash
226,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_880.mp4,crash
227,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_931.mp4,crash
228,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_987.mp4,crash
229,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1378.mp4,crash
230,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1080.mp4,crash
231,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1311.mp4,crash
232,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_970.mp4,crash
233,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_805.mp4,crash
234,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_979.mp4,crash
235,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_276.mp4,crash
236,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_701.mp4,crash
237,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_672.mp4,crash
238,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_854.mp4,crash
239,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_728.mp4,crash
240,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_470.mp4,crash
241,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1406.mp4,crash
242,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_796.mp4,crash
243,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1031.mp4,crash
244,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_525.mp4,crash
245,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_925.mp4,crash
246,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_533.mp4,crash
247,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_81.mp4,crash
248,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1033.mp4,crash
249,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_219.mp4,crash
250,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_311.mp4,crash
251,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_804.mp4,crash
252,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_891.mp4,crash
253,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_451.mp4,crash
254,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_17.mp4,crash
255,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1294.mp4,crash
256,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_869.mp4,crash
257,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1150.mp4,crash
258,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_350.mp4,crash
259,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1230.mp4,crash
260,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1453.mp4,crash
261,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_325.mp4,crash
262,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1053.mp4,crash
263,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_412.mp4,crash
264,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1046.mp4,crash
265,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_588.mp4,crash
266,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1141.mp4,crash
267,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_611.mp4,crash
268,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_342.mp4,crash
269,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_9.mp4,crash
270,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_789.mp4,crash
271,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_625.mp4,crash
272,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_841.mp4,crash
273,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_1357.mp4,crash
274,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_696.mp4,crash
275,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_515.mp4,crash
276,/content/drive/My Drive/Dataset_Applied_Project/Splitted_Data/train/crash/crash_501.mp4,crash
